City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,80.13,overcast clouds,-9.8,-139.0333,Villa Enata
2,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
11,Lop Buri,TH,87.01,overcast clouds,14.7981,100.654,ลพบุรีอินน์ รีสอร์ท Lopburi Inn Resort
16,Gizo,SB,84.97,few clouds,-8.103,156.8419,Imagination Island
28,Truth Or Consequences,US,82.99,clear sky,33.1284,-107.2528,Charles Motel
29,Hithadhoo,MV,82.42,scattered clouds,-0.6,73.0833,Scoop Guest House
31,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
33,Geraldton,AU,75.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
36,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,Rikitea,PF,78.01,scattered clouds,-23.1203,-134.9692,Pension Maro'i
43,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Tanna Lodge
44,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
54,Ferkessedougou,CI,81.73,overcast clouds,9.6,-5.2,Hotel Chateau
56,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
57,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
60,Itoman,JP,75.2,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
65,Nabire,ID,83.37,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
67,Sosua,DO,77.0,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
68,Axim,GH,80.13,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
73,San Antonio,US,84.99,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
74,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
75,Wanning,CN,81.39,overcast clouds,18.8003,110.3967,Paradise Hotel
76,Bac Lieu,VN,84.74,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
78,Siddharthanagar,NP,78.19,clear sky,27.5,83.45,Hotel Joshi
80,Itarema,BR,77.41,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
82,Puerto Ayora,EC,75.63,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
89,Butaritari,KI,83.08,few clouds,3.0707,172.7902,Isles Sunset Lodge
98,Tura,IN,82.33,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
101,Vanimo,PG,81.41,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
104,Pochutla,MX,84.2,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
109,Kolokani,ML,87.24,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
112,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
116,Ailigandi,PA,80.08,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
119,Kavieng,PG,83.35,broken clouds,-2.5744,150.7967,Nusa Island Retreat
122,Hobyo,SO,83.16,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
