City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,80.13,74,85,15.46,overcast clouds
1,Bluff,NZ,-46.6,168.3333,46.0,91,100,11.99,overcast clouds
2,Tautira,PF,-17.7333,-149.15,87.8,62,20,5.75,light rain
3,Whitehorse,CA,60.7161,-135.0538,57.2,21,1,10.36,clear sky
4,Castro,BR,-24.7911,-50.0119,59.13,92,99,3.29,overcast clouds
5,Laguna,US,38.421,-121.4238,61.0,55,40,10.36,scattered clouds
6,Port Hardy,CA,50.6996,-127.4199,51.8,82,75,3.44,light rain
7,Ketchikan,US,55.3422,-131.6461,60.8,29,1,11.5,clear sky
8,Nemuro,JP,43.3236,145.575,39.2,38,40,17.27,scattered clouds
9,Albany,US,42.6001,-73.9662,51.8,53,20,20.71,few clouds
10,Aktash,RU,50.3,87.7333,13.12,72,92,3.91,overcast clouds
11,Lop Buri,TH,14.7981,100.654,87.01,87,100,3.0,overcast clouds
12,Raudeberg,NO,61.9875,5.1352,37.0,76,2,8.59,clear sky
13,Ussel,FR,45.55,2.3167,55.0,18,100,1.5,overcast clouds
14,Qaanaaq,GL,77.484,-69.3632,27.99,68,0,7.99,clear sky
15,Port Elizabeth,ZA,-33.918,25.5701,59.0,88,0,8.05,clear sky
16,Gizo,SB,-8.103,156.8419,84.97,66,17,2.77,few clouds
17,Sept-Iles,CA,50.2001,-66.3821,41.0,75,75,5.75,broken clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,61.0,88,20,3.44,few clouds
19,Lebu,CL,-37.6167,-73.65,54.99,92,30,9.46,scattered clouds
20,New Norfolk,AU,-42.7826,147.0587,62.6,48,75,13.8,broken clouds
21,Hobart,AU,-42.8794,147.3294,62.6,48,75,13.8,broken clouds
22,Nioro,GM,13.35,-15.75,77.95,36,11,8.93,few clouds
23,Kaitangata,NZ,-46.2817,169.8464,48.15,89,100,14.47,overcast clouds
24,Ati,TD,13.2154,18.3353,84.07,19,100,6.55,overcast clouds
25,Busselton,AU,-33.65,115.3333,62.01,96,99,4.36,overcast clouds
26,Leek,NL,53.1625,6.3764,34.0,93,4,1.14,clear sky
27,Provideniya,RU,64.3833,-173.3,41.0,60,0,4.47,clear sky
28,Truth Or Consequences,US,33.1284,-107.2528,82.99,5,1,17.27,clear sky
29,Hithadhoo,MV,-0.6,73.0833,82.42,68,39,4.38,scattered clouds
30,Saldanha,ZA,-33.0117,17.9442,60.8,94,11,5.75,few clouds
31,Vaini,TO,-21.2,-175.2,82.4,78,75,6.91,broken clouds
32,Manzhouli,CN,49.6,117.4333,55.96,60,100,17.85,light rain
33,Geraldton,AU,-28.7667,114.6,75.2,33,0,13.8,clear sky
34,Jamestown,US,42.097,-79.2353,39.0,69,75,10.36,broken clouds
35,Mataura,NZ,-46.1927,168.8643,46.0,91,100,11.99,overcast clouds
36,Hilo,US,19.7297,-155.09,75.2,73,90,11.5,moderate rain
37,Hermanus,ZA,-34.4187,19.2345,60.01,92,2,1.01,clear sky
38,Nanortalik,GL,60.1432,-45.2371,38.88,86,100,6.35,light rain
39,Cape Town,ZA,-33.9258,18.4232,63.0,88,75,12.66,broken clouds
40,Plettenberg Bay,ZA,-34.0527,23.3716,64.18,72,100,3.49,overcast clouds
41,Rikitea,PF,-23.1203,-134.9692,78.01,74,37,5.79,scattered clouds
